Авилов 	 Avilov
Авилова Л. Ал. 	 Avilova L. Al.
Авилова Нина 	 Avilova Nina
Авиловы 	 Avilovy
Авксентьев Н. Д. 	 Avksent'ev N. D.
Авксентьева Шура 	 Avksent'eva Shura
Ага А. И. 	 Aga A. I.
Агралл Зигурд, проф. 	 Agrall Zigurd, prof.
Адамович Г. В. 	 Adamovich G. V.
Азеф И. 	 Azef I.
Аитов В. Д., д-р 	 Aitov V. D., d-r
Аитова 	 Aitova
Айхенвальд Юл. Ис. 	 Ajhenval'd Jul. Is.
Алданов Марк (псевд. М. А. Ландау) 	 Aldanov Mark (psevd. M. A. Landau)
Алдановы 	 Aldanovy
Александр I 	 Aleksandr I
Александр II 	 Aleksandr II
Александр III 	 Aleksandr III
Александр, король серб. 	 Aleksandr, korol' serb.
Александра Федоровна, императрица 	 Aleksandra Fedorovna, imperatritsa
Алексей Михайлович, царь 	 Aleksej Mihajlovich, tsar'
Алексинский, Гр. 	 Aleksinskij, Gr.
Алексинский И. П., д-р 	 Aleksinskij I. P., d-r
Алексинская Т. И. 	 Aleksinskaja T. I.
Алексинские 	 Aleksinskie
Алексинская Н. И. 	 Aleksinskaja N. I.
Альтшулер, д-р 	 Al'tshuler, d-r
Аминад (Дон Аминадо), см. Шполянский 	 Aminad (Don Aminado), sm. Shpoljanskij
Амфитеатров А. В. 	 Amfiteatrov A. V.
Андреев Л. Н. 	 Andreev L. N.
Апухтин А. Н. 	 Apuhtin A. N.
Аргутинский П. Н. кн. 	 Argutinskij P. N. kn.
Аргутинские 	 Argutinskie
Арсеньев К. К. 	 Arsen'ev K. K.
Афонский (хор А-го) 	 Afonskij (hor A-go)
Бакст Л. 	 Bakst L.
Балавинский 	 Balavinskij
Балахович 	 Balahovich
Бальмонт К. Д. 	 Bal'mont K. D.
Бальмонт Ел. К. 	 Bal'mont El. K.
Бальмонты 	 Bal'monty
Баратов H. H., ген. 	 Baratov H. H., gen.
Барятинский В. В., кн. 	 Barjatinskij V. V., kn.
Беек Фр. 	 Beek Fr.
Белинский В. 	 Belinskij V.
Белич А. И. 	 Belich A. I.
Белобородое А. Я. 	 Beloborodoe A. Ja.
Белый Андрей (Бугаев Б. Н.) 	 Belyj Andrej (Bugaev B. N.)
Бенеш Э. 	 Benesh E.
Берберова Н. 	 Berberova N.
Бердяев H. 	 Berdjaev H.
Бернацкий, проф. 	 Bernatskij, prof.
Бернацкие 	 Bernatskie
Бетховен Л. 	 Bethoven L.
Билибин И. 	 Bilibin I.
Блок А. А. 	 Blok A. A.
Блох Г. А. 	 Bloh G. A.
Блохи 	 Blohi
Борис Влад., вел. кн. 	 Boris Vlad., vel. kn.
Боссар (изд.) 	 Bossar (izd.)
Брежнев А. Н. 	 Brezhnev A. N.
Брежневы 	 Brezhnevy
Брешко-Брешковский H. H. 	 Breshko-Breshkovskij H. H.
Брюсов Вал. Я. 	 Brjusov Val. Ja.
Будберг, бар. 	 Budberg, bar.
Буковецкий Е. И. 	 Bukovetskij E. I.
Бунаков, см. Фондаминский 	 Bunakov, sm. Fondaminskij
Бунин А. Н. (отец) 	 Bunin A. N. (otets)
Бунин Евг. А. 	 Bunin Evg. A.
Бунин Юлий А. 	 Bunin Julij A.
Бунина А. Н., ур. Цакни 	 Bunina A. N., ur. Tsakni
Бунина Л. А. (мать) 	 Bunina L. A. (mat')
Бунина Анаст. К. (Настя) 	 Bunina Anast. K. (Nastja)
Бунины (семья) 	 Buniny (sem'ja)
Бурд С. 	 Burd S.
Бурцев В. Л. 	 Burtsev V. L.
Бухарин 	 Buharin
Валери Поль 	 Valeri Pol'
Васильев, д-р 	 Vasil'ev, d-r
Вахрушевы 	 Vahrushevy
Вересаев В. В. (Смидович) 	 Veresaev V. V. (Smidovich)
Верлэн П. 	 Verlen P.
Вертинский А. 	 Vertinskij A.
Верхарн Э. 	 Verharn E.
Веселовский 	 Veselovskij
Винтерфельд 	 Vinterfel'd
Виталий, старец 	 Vitalij, starets
Вишневский Вс. 	 Vishnevskij Vs.
Вишняк М. В. 	 Vishnjak M. V.
В-и 	 V-i
Винчи Леонардо да 	 Vinchi Leonardo da
Володарский 	 Volodarskij
Вольтер 	 Vol'ter
Волынский А. П. 	 Volynskij A. P.
Врангель П. Н., ген., барон 	 Vrangel' P. N., gen., baron
Врубель С. А. 	 Vrubel' S. A.
Вульф Вирджиния 	 Vul'f Virdzhinija
Вырубов В. В. 	 Vyrubov V. V.
Высоцкая Н. Г. 	 Vysotskaja N. G.
В-ие 	 V-ie
Вышеславцев Б. П. 	 Vysheslavtsev B. P.
Вышеславцева 	 Vysheslavtseva
Гааз д-р 	 Gaaz d-r
Габрилович Л. Е. 	 Gabrilovich L. E.
Гавронская Л. С. 	 Gavronskaja L. S.
Гавронский д-р Б. О. 	 Gavronskij d-r B. O.
Гальперн, адв. 	 Gal'pern, adv.
Гамсун Кнут 	 Gamsun Knut
Гегель 	 Gegel'
Гербер (изд.) 	 Gerber (izd.)
Герцен А. 	 Gertsen A.
Герцен Н. Ал. 	 Gertsen N. Al.
Гершензон М. О. 	 Gershenzon M. O.
Гессен А. 	 Gessen A.
Гессен И. В. 	 Gessen I. V.
Гессен Н. 	 Gessen N.
Гете В. 	 Gete V.
Гиппиус 3. Н. (Мережковская) 	 Gippius 3. N. (Merezhkovskaja)
Гиппиус Татьяна Н. 	 Gippius Tat'jana N.
Гирс А. Ф. 	 Girs A. F.
Гитлер А. 	 Gitler A.
Глазунов А. 	 Glazunov A.
Гликберг А. М. см. Черный Саша 	 Glikberg A. M. sm. Chernyj Sasha
Гоголь Н. В. 	 Gogol' N. V.
Годунов Борис 	 Godunov Boris
Голобородько И. 	 Goloborod'ko I.
Голштейн А. В. 	 Golshtejn A. V.
Гольдштейн М. Л. 	 Gol'dshtejn M. L.
Гольцев В. А. 	 Gol'tsev V. A.
Гончарова Н. С. 	 Goncharova N. S.
Гораций 	 Goratsij
Горький Максим (А. М. Пешков) 	 Gor'kij Maksim (A. M. Peshkov)
Горькие 	 Gor'kie
Гофман М. Л. 	 Gofman M. L.
Гребенщиков Г. Д. 	 Grebenschikov G. D.
Гребенщиковы 	 Grebenschikovy
Григ Э. 	 Grig E.
Григорьев Ал. 	 Grigor'ev Al.
Гримм Д. Д. 	 Grimm D. D.
Грозный, см. Иоанн Грозный 	 Groznyj, sm. Ioann Groznyj
Гукасов А. О. 	 Gukasov A. O.
Гуль Р. Б. 	 Gul' R. B.
