Id,Gender,Sphere,Occupation,Generation,Journal,Circle
#abramovich,m,else,politician,,,
#adamovich,m,literature,poet / critic,younger,Звено / Последние новости / Числа / Встречи / Современные записки / Новый корабль,Зеленая лампа / Круг / Парижская нота
#afonskij,m,religion,choirmaster,,,
#aga,m,else,restaurateur,,,
#ajhenval'd,m,literature,critic,,,
#al'tshuler,m,medicine,doctor,,,
#aleksinskaja,f,medicine,doctor ,,,
#amfiteatrov,m,literature,writer,elder,Возрождение,
#andreev,m,literature,writer,,,
#avilovy,m / f,literature,writer,,,
#bal'mont,m,literature,poet,elder,Современные записки / Дни / Последние новости,
#baratov,m,else,general,,,
#barjatinskij,m,literature / else,prince / journalist / writer,elder,Последние новости,
#bauer,m,else,restaurateur,,,
#belich,m,academic,professor,,,
#beliy,m,literature,writer,elder,Версты / Современные записки,
#beljaev,m,academic,scientist,,,
#berberova,f,literature,poet / writer,younger,Современные записки / Новый корабль / Встречи / Последние новости,Зеленая лампа
#brezhnev,m,else,acquaintance,,,
#burd,m,literature,entrepreneur / writer,elder,Числа,
#chasing,f,else,acquaintance,,,
#chirikov,m,literature,writer,elder,Иллюстрированная Россия,
#demidov,m,literature / else,politician / journalist,elder,Последние новости,
#demidova,f,relatives,wife,,,
#denikin,m,else,general,,,
#dmitrij_muromtsev,m,relatives,brother,,,
#el'jashevich,m,literature,publicist / professor,elder,,
#eremeeva,f,literature,writer,elder,,
#evlogij,m,religion,archbishop,,,
#fedotov,m,academic,professor,,,
#filosofov,m,literature,publicist,elder,,
#fondaminskaja,f,relatives,wife,,,
#fondaminskij,m,literature / else,editor / revolutionary,elder,Современные записки / Новый град,Круг / Зеленая лампа / Православное дело
#gerber,m,literature,publisher,,,
#gessen,m,literature / else,politician / publicist,elder,Новый град,
#gippius,f,literature,poet / writer,elder,Возрождение / Современные записки / Новый корабль / Литературный смотр / Иллюстрированная Россия / Встречи / Числа,Зеленая лампа / Воскресения
#glazunov,m,art,composer,,,
#goncharova,f,art,artist,,,
#gor'kij,m,literature,writer,elder,,
#guchkov,m,else,politician / minister,,,
#gukasov,m,academic,professor,,,
#gul',m,literature,writer / publicist / redactor / journalist,younger,Последние новости / Современные записки / Иллюстрированная Россия,
#hmara,m,art,actor,,,
#hodasevich,m,literature,poet / critic,elder,Возрождение / Дни / Современные записки / Иллюстрированная Россия,Зеленая лампа
#ignat'ev,m,literature / else,count / publicist,elder,Иллюстрированная Россия,
#il'in,m,academic,professor,,,
#ilovajskij,m,academic,professor,,,
#ivanov,m,literature,poet / writer,younger,Новый корабль / Иллюстрированная Россия / Встречи / Последние новости / Числа,Зеленая лампа / Круг
#jablonovskij,m,literature,journalist / poet,elder,Возрождение / Иллюстрированная Россия,
#jakobson,m,literature,writer,,,
#jushkevich,m,literature,publicist / philosopher,,,
#kalgren,m,academic,professor,,,
#kalitinskij,m,academic,professor,,,
#karlfel'd,m,literature,poet,,,
#kartashev,m,academic,professor,,,
#kataev,m,literature,writer,,,
#kerenskij,m,literature / else,politician / publicist / editor,,Дни / Новая Россия / Современные записки / Иллюстрированная Россия,
#kirill_zajtsev,m,academic / literature,professor,,Россия и слаянство,
#klodia,f,else,tailor,,,
#konjus,f,art,musician,,,
#kornilov,m,else,general,,,
#krymov,m,literature,writer / entrpreneur / publisher,elder,,
#kugushevy,m / f,else,prince,,,
#kul'man,m,academic / literature,professor / publicist,elder,Возрождение / Современные записки / Россия и славянство / Русская мысль,
#kuprin,m,literature,writer / editor,elder,Возрождение / Иллюстрированная Россия,
#kurdjumov,f,literature,writer / journalist,elder,,
#kutepov,m,else,general,,,
#kuznetsova,f,literature,poet / writer,younger,Современные записки / Последние новости,
#l'vov,m,else,prince,,,
#ladyzhenskij,m,literature,poet / writer,elder,Современные записки,
#landau,m,literature,writer / critic / publicist,elder,Дни / Современные записки / Последние новости / Иллюстрированная Россия,Зеленая лампа
#leviny,m / f,else,entrepreneur / acquaintance,,,
#lifar',m,art,dancer,,,
#ljubimov,m,religion,priest,,,
#ljuter,m,literature,critic / translator,,,
#lolo,m,literature,poet,elder,Последние новости / Возрождение / Русская газета,
#lopatin,m,academic,philosopher,,,
#lopatina,f,literature,writer,elder,Последние новости / Современные записки,
#maan,m,medicine,doctor,,,
#maklakov,m,academic,professor,,,
#makovskij,m,literature,poet / critic / publisher,elder,Возрождение,Зеленая лампа
#mamontov,m,else,merchant,,,
#mann,m,literature,writer,,,
#manuhin,m,medicine,doctor,,,
#manuhina,f,literature,writer / journalist,elder,,
#marga_stepun,f,art,singer,,,
#mel'gunov,m,academic,professor,,,
#merezhkovskij,m,literature,writer / editor,elder,Современные записки / Возрождение / Новый корабль / Иллюстрированная Россия / Меч / Встречи / Числа,Зеленая лампа / Воскресения
#mihajlov,m,academic,professor,,,
#miljukov,m,academic,professor,,,
#minskij,m,literature,poet,elder,,
#mochul'skij,m,literature,critic / professor,elder,Современные записки / Последние новости,Зеленая лампа / Круг
#mogilevskij,m,literature,editor,elder,Последние новости,
#murav'ev,m,relatives,husband,,,
#murav'eva,f,art / literature,artist / writer,,,
#natasha_zajtseva,f,relatives,daughter,,,
#nekljudov,m,literature / else,ambassador / memoirist,,,
#nilus,m,art,artist,,,
#nobel',m / f,academic,chemist,,,
#novosil'tsev,m,else,general,,,
#odoevtseva,f,literature,poet,younger,Иллюстрированная Россия / Встречи / Последние новости / Числа,Зеленая лампа / Круг
#olechka,f,else,acquaintance,,,
#olejnikov,m,medicine / else,doctor / patron,,,
#osorgin,m,literature,writer / journalist,elder,Дни / Современные записки / Иллюстрированная Россия / Последние новости / Новые писатели,
#osorgina,f,relatives,wife,,,
#otsup,m,literature,poet,younger,Новый корабль / Числа,Зеленая лампа
#pavel_muromtsev,m,relatives,brother,,,
#perskie,m / f,else,acquaintance,,,
#peshkova,f,else,human right defender,,,
#peti,m,else,lawyer,,,
#petrovskaja,f,literature,writer / memoirist,elder,,
#pilsudskij,m,else,politician,,,
#pirandello,m,literature,writer,,,
#plescheev,m,literature,writer / actor,elder,,
#plevako,m,else,lawyer,,,
#plevitskaja,f,art,singer,,,
#poljakov,m,literature / else,lawyer / journalist,elder,Последние новости,
#polonskij,m,literature,writer,elder,Временник Общества друзей русской книги / Последние новости,
#prjun'e,m,else,restaurateur,,,
#prust,m,literature,writer,,,
#rahmaninov,m,art,composer,,,
#remizov,m,literature,writer,elder,Иллюстрированная Россия / Последние новости / Версты / Числа,Зеленая лампа
#repin,m,art,artist,,,
#ril'ke,m,literature,poet,,,
#roden,m,art,sculptor,,,
#roll',m,else,terrorist,,,
#roschin,m,literature,writer,younger,Возрождение / Современные записки / Иллюстрированная Россия,
#rostovtsev,m,academic,historian,,,
#rudnev,m,else,politician,,,
#ruk'e,m,else,merchant,,,
#savel'ev,m,literature,critic,,Современные записки / Новый град,
#savinkov,m,literature / else,politician / writer,,,
#serov,m,medicine,doctor,,,
#shahovskoj,m,else,prince,,,
#shaljapin,m,art,singer,,,
#shaljapina,f,art,musician,,,
#shassen,m,literature,journalist,,,
#shestov,m,academic / literature,philosopher,,Версты / Числа,Зеленая лампа
#shmelev,m,literature,writer,elder,Возрождение / Современные записки / Иллюстрированная Россия / Встречи,
#shpoljanskij,m,literature,writer  / editor,elder,Последние новости / Сатирикон,
#sirin,m,literature,writer,younger,Возрождение / Современные записки,
#skirmunt,m,else,politician,,,
#skobtsova,f,literature ,writer,elder,Новый град,
#sokolov,m,literature,poet / publisher,elder,,
#soldatskij,m,else,tailor,,,
#solloguby,m / f,relatives,family,,,
#sorin,m,art,artist,,,
#spesivtseva,f,art,dancer,,,
#spirovich,m,else,acquaintance,,,
#stelletskij,m,art,artist,,,
#stepun,m,academic / literature,professor / critic,elder,Новый град / Современные записки / Возрождение,
#stravinskij,m,art,composer,,,
#struve,m,academic / literature,professor / publicist / editor,,Возрождение / Россия и славянство,
#teffi,f,literature,writer,elder,Современные записки / Последние новости / Иллюстрированная Россия,Зеленая лампа
#teleshov,m,literature,writer,,,
#tikston,m,else,entrepreneur,,,
#tokarskij,m,academic,scientist / psychologist,,,
#tolstoj,m,literature,writer,elder,Современные записки / Иллюстрированная Россия,
#tolstye,m / f,relatives,family,,,
#trotskij,m,literature,journalist / politician,,,
#tsakni,f,relatives,ex-wife,,,
#tsetlin,m,literature,poet / editor / publisher / patron,elder,Современные записки / Последние новости,Зеленая лампа
#tsetlina,f,else,activist,,,
#tsvetaeva,f,literature,poet,elder,Версты / Дни / Современные записки / Встречи / Новый град,
#tsvibak,m,literature,writer / journalist,younger,Последние новости,
#unkovskij,m,medicine,doctor,,,
#valeri,m,literature,poet,,,
#vishnevskij,m,literature,writer,,,
#vishnjak,m,literature,publicist / editor,elder,Современные записки ,Зеленая лампа
#vrangel',f,literature,writer / journalist / activist,elder,Возрождение / Новый журнал,
#vrubel',m,art,artist,,,
#vul'f,f,literature,writer,,,
#vyrubov,m,else,entreprenuer,,,
#vysheslavtsev,m,academic,philosopher,,,
#vysheslavtseva,f,relatives,wife,,,
#zajtsev,m,literature,writer,elder,Современные записки / Возрождение / Иллюстрированная Россия / Числа,Зеленая лампа
#zajtseva,f,relatives,wife,,,
#zamjatin,m,literature,writer,elder,,
#zernov,m,medicine,doctor,,,
#zhid,m,literature,writer,,,
#zhirova,f,else,acquaintance,,,
#zhozef,m,else,servant,,,
#zlobin,m,literature,writer / editor,younger,Новый корабль / Встречи,Зеленая лампа / Круг
#zurov,m,literature,writer,younger,Иллюстрированная Россия / Последние новости,Круг
