Id,Label,timeset,Name,gender,sphere,occupation,generation,journal,circle
"#kirill_zajtsev","#kirill_zajtsev",,"#kirill_zajtsev",m,academic / literature,professor,,Россия и слаянство,
"#stelletskij","#stelletskij",,"#stelletskij",m,art,artist,,,
"#kuznetsova","#kuznetsova",,"#kuznetsova",f,literature,poet / writer,younger,Современные записки / Последние новости,
"#marga_stepun","#marga_stepun",,"#marga_stepun",f,art,singer,,,
"#roschin","#roschin",,"#roschin",m,literature,writer,younger,Возрождение / Современные записки / Иллюстрированная Россия,
"#zurov","#zurov",,"#zurov",m,literature,writer,younger,Иллюстрированная Россия / Последние новости,Круг
"#mihajlov","#mihajlov",,"#mihajlov",m,academic,professor,,,
"#ruk'e","#ruk'e",,"#ruk'e",m,else,merchant,,,
"#shahovskoj","#shahovskoj",,"#shahovskoj",m,else,prince,,,
"#zajtsev","#zajtsev",,"#zajtsev",m,literature,writer,elder,Современные записки / Возрождение / Иллюстрированная Россия / Числа,Зеленая лампа
