Source	Target	Weight
#bal'mont	#bal'mont	1.0
#bal'mont	#bunins	1.0
#bal'mont	#kul'man	1.0
#bal'mont	#kuprin	1.0
#bal'mont	#landau	1.0
#bal'mont	#osorgin	1.0
#bal'mont	#osorgina	1.0
#bal'mont	#shestov	1.0
#bal'mont	#shmelev	1.0
#bal'mont	#zajtsev	1.0
#bal'mont	#zajtseva	1.0
#bunins	#bunins	29.0
#bunins	#fedotov	1.0
#bunins	#fondaminskij	3.0
#bunins	#gippius	2.0
#bunins	#hodasevich	1.0
#bunins	#kerenskij	1.0
#bunins	#kirill_zajtsev	1.0
#bunins	#klodia	1.0
#bunins	#krymov	1.0
#bunins	#kul'man	1.0
#bunins	#kuprin	1.0
#bunins	#kuznetsova	7.0
#bunins	#landau	2.0
#bunins	#lolo	1.0
#bunins	#lopatina	1.0
#bunins	#maan	1.0
#bunins	#manuhina	1.0
#bunins	#merezhkovskij	2.0
#bunins	#osorgin	1.0
#bunins	#osorgina	1.0
#bunins	#plevitskaja	1.0
#bunins	#roschin	1.0
#bunins	#shestov	1.0
#bunins	#shmelev	1.0
#bunins	#shpoljanskij	2.0
#bunins	#teffi	2.0
#bunins	#tsetlin	1.0
#bunins	#tsetlina	1.0
#bunins	#vyrubov	1.0
#bunins	#zajtsev	3.0
#bunins	#zajtseva	3.0
#bunins	#zurov	6.0
#fedotov	#fedotov	1.0
#fondaminskij	#fondaminskij	3.0
#gippius	#gippius	2.0
#gippius	#kuznetsova	1.0
#gippius	#merezhkovskij	2.0
#gippius	#plevitskaja	1.0
#gippius	#shpoljanskij	1.0
#gippius	#teffi	1.0
#gippius	#tsetlin	1.0
#gippius	#tsetlina	1.0
#hodasevich	#hodasevich	1.0
#hodasevich	#teffi	1.0
#kerenskij	#kerenskij	1.0
#kerenskij	#landau	1.0
#kirill_zajtsev	#kirill_zajtsev	1.0
#klodia	#klodia	1.0
#krymov	#krymov	1.0
#kul'man	#kul'man	1.0
#kul'man	#kuprin	1.0
#kul'man	#landau	1.0
#kul'man	#osorgin	1.0
#kul'man	#osorgina	1.0
#kul'man	#shestov	1.0
#kul'man	#shmelev	1.0
#kul'man	#zajtsev	1.0
#kul'man	#zajtseva	1.0
#kuprin	#kuprin	1.0
#kuprin	#landau	1.0
#kuprin	#osorgin	1.0
#kuprin	#osorgina	1.0
#kuprin	#shestov	1.0
#kuprin	#shmelev	1.0
#kuprin	#zajtsev	1.0
#kuprin	#zajtseva	1.0
#kuznetsova	#kuznetsova	7.0
#kuznetsova	#merezhkovskij	1.0
#kuznetsova	#plevitskaja	1.0
#kuznetsova	#shpoljanskij	2.0
#kuznetsova	#teffi	1.0
#kuznetsova	#tsetlin	1.0
#kuznetsova	#tsetlina	1.0
#kuznetsova	#zurov	2.0
#landau	#landau	2.0
#landau	#osorgin	1.0
#landau	#osorgina	1.0
#landau	#shestov	1.0
#landau	#shmelev	1.0
#landau	#zajtsev	1.0
#landau	#zajtseva	1.0
#lolo	#lolo	1.0
#lopatina	#lopatina	1.0
#maan	#maan	1.0
#manuhina	#manuhina	1.0
#merezhkovskij	#merezhkovskij	2.0
#merezhkovskij	#plevitskaja	1.0
#merezhkovskij	#shpoljanskij	1.0
#merezhkovskij	#teffi	1.0
#merezhkovskij	#tsetlin	1.0
#merezhkovskij	#tsetlina	1.0
#osorgin	#osorgin	1.0
#osorgin	#osorgina	1.0
#osorgin	#shestov	1.0
#osorgin	#shmelev	1.0
#osorgin	#zajtsev	1.0
#osorgin	#zajtseva	1.0
#osorgina	#osorgina	1.0
#osorgina	#shestov	1.0
#osorgina	#shmelev	1.0
#osorgina	#zajtsev	1.0
#osorgina	#zajtseva	1.0
#plevitskaja	#plevitskaja	1.0
#plevitskaja	#shpoljanskij	1.0
#plevitskaja	#teffi	1.0
#plevitskaja	#tsetlin	1.0
#plevitskaja	#tsetlina	1.0
#roschin	#roschin	1.0
#roschin	#zurov	1.0
#shestov	#shestov	1.0
#shestov	#shmelev	1.0
#shestov	#zajtsev	1.0
#shestov	#zajtseva	1.0
#shmelev	#shmelev	1.0
#shmelev	#zajtsev	1.0
#shmelev	#zajtseva	1.0
#shpoljanskij	#shpoljanskij	2.0
#shpoljanskij	#teffi	1.0
#shpoljanskij	#tsetlin	1.0
#shpoljanskij	#tsetlina	1.0
#teffi	#teffi	2.0
#teffi	#tsetlin	1.0
#teffi	#tsetlina	1.0
#tsetlin	#tsetlin	1.0
#tsetlin	#tsetlina	1.0
#tsetlina	#tsetlina	1.0
#vyrubov	#vyrubov	1.0
#zajtsev	#zajtsev	3.0
#zajtsev	#zajtseva	3.0
#zajtseva	#zajtseva	3.0
#zurov	#zurov	6.0
