Source	Target	Weight
#abramovich	#abramovich	1.0
#abramovich	#bunins	1.0
#abramovich	#fondaminskij	1.0
#abramovich	#hmara	1.0
#abramovich	#landau	1.0
#abramovich	#perskie	1.0
#abramovich	#sirin	1.0
#abramovich	#teffi	1.0
#adamovich	#adamovich	3.0
#adamovich	#berberova	1.0
#adamovich	#bunins	3.0
#adamovich	#gippius	1.0
#adamovich	#merezhkovskij	1.0
#adamovich	#otsup	1.0
#adamovich	#tsetlin	1.0
#adamovich	#tsetlina	1.0
#aga	#aga	3.0
#aga	#bunins	3.0
#bal'mont	#bal'mont	1.0
#bal'mont	#bunins	1.0
#bal'mont	#kul'man	1.0
#bal'mont	#kuprin	1.0
#bal'mont	#landau	1.0
#bal'mont	#osorgin	1.0
#bal'mont	#osorgina	1.0
#bal'mont	#shestov	1.0
#bal'mont	#shmelev	1.0
#bal'mont	#zajtsev	1.0
#bal'mont	#zajtseva	1.0
#barjatinskij	#barjatinskij	1.0
#barjatinskij	#bunins	1.0
#belich	#belich	2.0
#belich	#bunins	2.0
#belich	#teffi	1.0
#belich	#tikston	1.0
#berberova	#berberova	4.0
#berberova	#bunins	4.0
#berberova	#gippius	1.0
#berberova	#hodasevich	1.0
#berberova	#kuznetsova	1.0
#berberova	#leviny	1.0
#berberova	#merezhkovskij	1.0
#berberova	#nilus	1.0
#berberova	#teffi	1.0
#berberova	#tsetlin	1.0
#berberova	#tsetlina	1.0
#brezhnev	#brezhnev	1.0
#brezhnev	#bunins	1.0
#brezhnev	#peshkova	1.0
#bunins	#bunins	231.0
#bunins	#demidov	4.0
#bunins	#denikin	1.0
#bunins	#el'jashevich	1.0
#bunins	#eremeeva	2.0
#bunins	#evlogij	1.0
#bunins	#fedotov	2.0
#bunins	#fondaminskij	23.0
#bunins	#gessen	1.0
#bunins	#gippius	23.0
#bunins	#glazunov	2.0
#bunins	#guchkov	1.0
#bunins	#hmara	1.0
#bunins	#hodasevich	6.0
#bunins	#il'in	1.0
#bunins	#ivanov	2.0
#bunins	#jablonovskij	1.0
#bunins	#jushkevich	1.0
#bunins	#kartashev	2.0
#bunins	#kerenskij	3.0
#bunins	#kirill_zajtsev	2.0
#bunins	#klodia	1.0
#bunins	#konjus	1.0
#bunins	#kornilov	1.0
#bunins	#krymov	2.0
#bunins	#kugushevy	2.0
#bunins	#kul'man	3.0
#bunins	#kuprin	3.0
#bunins	#kurdjumov	3.0
#bunins	#kuznetsova	40.0
#bunins	#l'vov	1.0
#bunins	#landau	14.0
#bunins	#leviny	1.0
#bunins	#lolo	1.0
#bunins	#lopatina	5.0
#bunins	#maan	2.0
#bunins	#maklakov	1.0
