Source	Target	Weight
#adamovich	#adamovich	1.0
#adamovich	#berberova	1.0
#adamovich	#tsetlin	1.0
#adamovich	#tsetlina	1.0
#aga	#aga	3.0
#barjatinskij	#barjatinskij	1.0
#belich	#belich	2.0
#belich	#teffi	1.0
#belich	#tikston	1.0
#berberova	#berberova	3.0
#berberova	#gippius	1.0
#berberova	#hodasevich	1.0
#berberova	#leviny	1.0
#berberova	#merezhkovskij	1.0
#berberova	#teffi	1.0
#berberova	#tsetlin	1.0
#berberova	#tsetlina	1.0
#brezhnev	#brezhnev	1.0
#brezhnev	#peshkova	1.0
#evlogij	#evlogij	1.0
#evlogij	#kurdjumov	1.0
#fondaminskij	#fondaminskij	3.0
#fondaminskij	#landau	1.0
#gippius	#gippius	7.0
#gippius	#hodasevich	1.0
#gippius	#leviny	1.0
#gippius	#merezhkovskij	6.0
#gippius	#teffi	1.0
#gippius	#zajtsev	1.0
#hodasevich	#hodasevich	3.0
#hodasevich	#leviny	1.0
#hodasevich	#merezhkovskij	1.0
#hodasevich	#sokolov	1.0
#hodasevich	#teffi	1.0
#hodasevich	#unkovskij	1.0
#hodasevich	#zajtsev	1.0
#jablonovskij	#jablonovskij	1.0
#jushkevich	#jushkevich	1.0
#kartashev	#kartashev	1.0
#kuprin	#kuprin	1.0
#kurdjumov	#kurdjumov	1.0
#kuznetsova	#kuznetsova	5.0
#kuznetsova	#roschin	1.0
#landau	#landau	3.0
#landau	#tsvibak	1.0
#leviny	#leviny	1.0
#leviny	#merezhkovskij	1.0
#leviny	#teffi	1.0
#merezhkovskij	#merezhkovskij	6.0
#merezhkovskij	#teffi	1.0
#mihajlov	#mihajlov	1.0
#peshkova	#peshkova	1.0
#prjun'e	#prjun'e	1.0
#roschin	#roschin	2.0
#serov	#serov	2.0
#sokolov	#sokolov	1.0
#sokolov	#unkovskij	1.0
#sokolov	#zajtsev	1.0
#teffi	#teffi	3.0
#teffi	#tikston	1.0
#tikston	#tikston	1.0
#tsetlin	#tsetlin	4.0
#tsetlin	#tsetlina	3.0
#tsetlina	#tsetlina	3.0
#tsvibak	#tsvibak	1.0
#unkovskij	#unkovskij	1.0
#unkovskij	#zajtsev	1.0
#zajtsev	#zajtsev	5.0
#zajtsev	#zajtseva	1.0
#zajtseva	#zajtseva	2.0
